id_ag_num_a;id_ag_num_b;1;2;3;4;5;6;7;NO_x;NAME_x;LON_x;LAT_x;NO_y;NAME_y;LON_y;LAT_y;ID
10739;10675;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10739;SAINT-MARTIN-D'URIAGE, URIAGE GARE;5.8294901847839355;45.14398956298828;10675;SAINT-MARTIN-D'URIAGE, ROUTE DE SAINT-MARTIN;5.828169822692871;45.139469146728516;921
10740;10309;80.0;80.0;80.0;80.0;80.0;36.0;15.0;10740;VIF, URIOL;5.668560028076172;45.060630798339844;10309;VIF, LES GARCINS;5.669859886169434;45.06388854980469;922
10740;10771;84.0;84.0;84.0;84.0;84.0;36.0;15.0;10740;VIF, URIOL;5.668560028076172;45.060630798339844;10771;VIF, VIF MAIRIE;5.668970108032227;45.05583953857422;923
10741;10442;51.0;51.0;51.0;51.0;51.0;36.0;15.0;10741;VIF, L'USINE NORD;5.652810096740723;45.029998779296875;10442;VIF, LE RIF;5.655459880828857;45.03229904174805;924
10741;10607;50.0;50.0;50.0;50.0;50.0;36.0;15.0;10741;VIF, L'USINE NORD;5.652810096740723;45.029998779296875;10607;VIF, LE PONT DE GENEVREY;5.651710033416748;45.02851867675781;925
10742;10746;174.0;128.0;128.0;174.0;128.0;94.0;56.0;10742;GRENOBLE, VALLIER - DOCTEUR CALMETTE;5.711269855499268;45.18050003051758;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;926
10742;10747;174.0;128.0;128.0;174.0;128.0;94.0;56.0;10742;GRENOBLE, VALLIER - DOCTEUR CALMETTE;5.711269855499268;45.18050003051758;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;927
10743;10139;12.0;12.0;12.0;12.0;12.0;8.0;0.0;10743;CLAIX, VAL D'ALLIERES;5.665319919586182;45.10689926147461;10139;CLAIX, LA CHANTERAIE;5.665480136871338;45.1101188659668;928
10744;10365;17.0;17.0;16.0;17.0;17.0;0.0;0.0;10744;SAINT-MARTIN-D'URIAGE, LES VALETS;5.85807991027832;45.16748809814453;10365;SAINT-MARTIN-D'URIAGE, IZARDS PATTE D'OIE;5.8648600578308105;45.16886901855469;929
10746;10649;108.0;108.0;108.0;108.0;108.0;90.0;52.0;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;10649;GRENOBLE, ROSA PARKS;5.7052202224731445;45.17496871948242;930
10746;10657;38.0;38.0;38.0;38.0;38.0;0.0;0.0;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;10657;VARCES-ALLIERES-ET-RISSET, LE ROCHEFORT;5.68533992767334;45.10163879394531;931
10746;10692;174.0;128.0;128.0;174.0;128.0;94.0;56.0;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;10692;SEYSSINET-PARISET, SEYSSINET-PARISET HOTEL DE VILLE;5.697070121765137;45.180320739746094;932
10746;10742;174.0;128.0;128.0;174.0;128.0;94.0;56.0;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;10742;GRENOBLE, VALLIER - DOCTEUR CALMETTE;5.711269855499268;45.18050003051758;933
10746;10747;40.0;40.0;40.0;40.0;40.0;0.0;0.0;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;934
10747;10019;191.0;199.0;199.0;199.0;191.0;127.0;71.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10019;GRENOBLE, ALLIES;5.714270114898682;45.173980712890625;935
10747;10022;40.0;40.0;40.0;40.0;40.0;0.0;0.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10022;GRENOBLE, ALSACE-LORRAINE;5.719299793243408;45.189109802246094;936
10747;10216;128.0;137.0;137.0;137.0;128.0;122.0;69.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10216;GRENOBLE, CONDORCET;5.7182297706604;45.18553161621094;937
10747;10293;218.0;172.0;172.0;218.0;172.0;94.0;56.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10293;GRENOBLE, FOCH - FERRIE;5.722559928894043;45.18080139160156;938
10747;10742;174.0;128.0;128.0;174.0;128.0;94.0;56.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10742;GRENOBLE, VALLIER - DOCTEUR CALMETTE;5.711269855499268;45.18050003051758;939
