id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;26.0;26.0;26.0;26.0;26.0;14.0;14.0
30;50;Sassenage Les Côtes / Fontaine La Poya;21.0;21.0;21.0;21.0;21.0;17.0;0.0
31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;22.0;22.0;22.0;22.0;22.0;16.0;0.0
32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;26.0;26.0;26.0;26.0;26.0;26.0;0.0
33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;13.0;13.0;12.0;13.0;13.0;8.0;0.0
34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;12.0;12.0;11.0;12.0;12.0;9.0;0.0
35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;27.0;27.0;26.0;27.0;27.0;21.0;0.0
36;60;Proveysieux Planfay Haut / Saint-Égrève Muret;11.0;11.0;12.0;11.0;11.0;8.0;0.0
37;61;Quaix-en-Chartreuse Village / Saint-Égrève Muret;14.0;14.0;14.0;14.0;14.0;8.0;0.0
38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;12.0;12.0;12.0;12.0;12.0;18.0;18.0
39;63;Mont-Saint-Martin Chemin de Namière / Saint-Égrève Gare;4.0;5.0;4.0;4.0;4.0;4.0;0.0
40;64;Le Pont-de-Claix ZI des Îles / Le Pont-de-Claix L'Etoile;4.0;4.0;4.0;4.0;4.0;0.0;0.0
41;65;Grenoble Grand'place / Vizille Le Péage;22.0;22.0;22.0;22.0;22.0;13.0;0.0
42;66;Jarrie Clos Jouvin / Échirolles La Rampe - Centre-Ville;26.0;26.0;26.0;26.0;26.0;10.0;0.0
43;67;Grenoble Grand'place / Herbeys Le Bourg;28.0;28.0;28.0;28.0;28.0;15.0;0.0
44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;15.0;15.0;15.0;15.0;15.0;12.0;0.0
45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;19.0;19.0;19.0;19.0;19.0;10.0;0.0
46;71;Jarrie Gare / Champagnier Place du Laca;5.0;5.0;5.0;5.0;5.0;0.0;0.0
47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;8.0;6.0;8.0;6.0;7.0;0.0;0.0
48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;452.0;452.0;452.0;452.0;452.0;297.0;163.0
49;B;Grenoble Oxford / Gières Plaine des Sports;318.0;318.0;318.0;318.0;318.0;200.0;114.0
50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;348.0;256.0;256.0;348.0;256.0;188.0;112.0
51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;155.0;155.0;155.0;155.0;155.0;150.0;120.0
52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;310.0;310.0;310.0;310.0;310.0;190.0;117.0
53;NAVA;Fontaine La Poya / Le Pont-de-Claix L'Etoile;130.0;130.0;0.0;0.0;0.0;0.0;0.0
54;NAVE;Fontanil-Cornillon Palluel / Grenoble Louise Michel;0.0;17.0;17.0;17.0;0.0;0.0;0.0
