sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
14_1_10759_10430_17_1125.0;14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;2.25;2.25;1.125;2.25;3.375;0.0;0.0
15_0_10349_10547_28_3940.0;15;19;Sassenage L'Ovalie / Seyssins Garlettes;185.18;185.18;185.18;185.18;185.18;114.26;74.86
15_1_10547_10349_28_5206.0;15;19;Sassenage L'Ovalie / Seyssins Garlettes;244.682;244.682;244.682;244.682;244.682;156.18;98.914
16_0_10692_10150_13_2698.0;16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;86.336;86.336;86.336;86.336;86.336;0.0;0.0
16_0_10692_10766_24_2896.0;16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;101.36;101.36;101.36;101.36;101.36;89.776;52.128
16_1_10150_10692_14_2967.0;16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;94.944;94.944;94.944;94.944;94.944;2.967;0.0
16_1_10766_10403_19_0.0;16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16_1_10766_10692_25_2967.0;16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;106.812;106.812;106.812;106.812;106.812;89.01;53.406
17_0_10631_10626_17_4482.0;17;21;Seyssins Le Prisme / Claix Pont Rouge;183.762;183.762;183.762;183.762;183.762;129.978;62.748
17_1_10626_10631_16_3960.0;17;21;Seyssins Le Prisme / Claix Pont Rouge;166.32;166.32;166.32;166.32;166.32;114.84;55.44
18_0_10271_10548_19_6504.0;18;22;Grenoble Oxford / Saint-Égrève Gare;292.68;292.68;292.68;292.68;292.68;188.616;84.552
18_1_10548_10271_20_4682.0;18;22;Grenoble Oxford / Saint-Égrève Gare;210.69;210.69;210.69;210.69;210.69;140.46;65.548
19_0_10565_10077_30_16573.0;19;23;Saint-Martin-d'Hères Université - Bibliothèques / Vizille Le Péage;629.774;629.774;629.774;629.774;629.774;265.168;215.449
19_1_10079_10565_30_16267.0;19;23;Saint-Martin-d'Hères Université - Bibliothèques / Vizille Le Péage;618.146;618.146;618.146;618.146;618.146;260.272;211.471
20_0_10759_10376_15_0.0;20;24;Gières Gare - Chamandier / Grenoble Verdun - Préfecture;0.0;0.0;0.0;0.0;0.0;0.0;0.0
