id_course;id_course_num;id_ligne_num;id_service_num;sous_ligne;direction_id;id_ap_num_debut;id_ag_num_debut;h_dep_num;heure_depart;id_ap_num_terminus;id_ag_num_terminus;heure_arrive;h_arr_num;nb_arrets;DIST_Vol_Oiseau
1010083-1-1;162;4;26;4_1_10088_10106_14_36755.0;1;100098;10088;0.71875;17:15;100119;10106;18:04;0.7534722222222222;14;36755.0
1009247-1-1;141;4;27;4_0_10172_10088_24_54060.0;0;100193;10172;0.2604166666666667;06:15;100098;10088;07:45;0.3229166666666667;24;54060.0
436-1-1;142;4;27;4_1_10084_10170_30_56739.0;1;100094;10084;0.3194444444444445;07:40;100262;10170;09:15;0.3854166666666667;30;56739.0
428-1-1;137;4;29;4_0_10172_10088_24_54013.0;0;100193;10172;0.2465277777777778;05:55;100098;10088;07:40;0.3194444444444445;24;54013.0
429-1-1;138;4;29;4_0_10172_10088_30_55997.0;0;100193;10172;0.3645833333333333;08:45;100098;10088;10:22;0.4326388888888889;30;55997.0
433-1-1;139;4;29;4_1_10084_10173_22_53001.0;1;100094;10084;0.2534722222222222;06:04;100194;10173;07:54;0.3298611111111111;22;53001.0
435-1-1;140;4;29;4_1_10088_10101_14_36974.0;1;100098;10088;0.3819444444444444;09:09;100114;10101;10:05;0.4201388888888889;14;36974.0
1009248-1-1;145;4;30;4_0_10172_10088_28_55959.0;0;100193;10172;0.7083333333333334;17:00;100098;10088;18:45;0.78125;28;55959.0
436-1-4;146;4;30;4_1_10084_10170_30_56739.0;1;100094;10084;0.7152777777777778;17:10;100262;10170;19:00;0.7916666666666666;30;56739.0
1009254-1-1;157;4;31;4_0_10172_10088_18_52076.0;0;100193;10172;0.2569444444444444;06:09;100098;10088;07:40;0.3194444444444445;18;52076.0
1010082-1-1;159;4;32;4_1_10084_10170_31_56761.0;1;100094;10084;0.5104166666666666;12:15;100262;10170;14:05;0.5868055555555556;31;56761.0
1010082-1-2;160;4;32;4_1_10084_10170_31_56761.0;1;100094;10084;0.7152777777777778;17:10;100262;10170;19:00;0.7916666666666666;31;56761.0
1010082-1-3;161;4;32;4_1_10084_10170_31_56761.0;1;100094;10084;0.3263888888888889;07:50;100262;10170;09:35;0.3993055555555556;31;56761.0
451-1-1;170;5;5;5_0_10053_10088_11_20496.0;0;100060;10053;0.3333333333333333;08:00;100098;10088;08:30;0.35416666666666663;11;20496.0
1009257-1-1;171;5;5;5_0_10116_10088_7_42987.0;0;100130;10116;0.3576388888888889;08:35;100098;10088;09:49;0.4097222222222222;7;42987.0
1009255-1-2;167;5;9;5_0_10116_10084_20_47617.0;0;100130;10116;0.5069444444444444;12:09;100094;10084;13:35;0.5666666666666667;20;47617.0
1010086-1-1;168;5;9;5_1_10228_10116_21_48018.0;1;100257;10228;0.71875;17:15;100130;10116;18:49;0.7847222222222222;21;48018.0
1010087-1-1;173;5;11;5_1_10088_10116_7_42987.0;1;100098;10088;0.5138888888888888;12:19;100130;10116;13:34;0.5659722222222222;7;42987.0
1010085-1-1;172;5;12;5_1_10088_10116_16_45868.0;1;100098;10088;0.5138888888888888;12:19;100130;10116;13:45;0.5729166666666666;16;45868.0
1010087-1-2;174;5;18;5_1_10088_10116_7_42987.0;1;100098;10088;0.5138888888888888;12:19;100130;10116;13:34;0.5659722222222222;7;42987.0
457-1-1;165;5;22;5_0_10116_10088_21_47516.0;0;100130;10116;0.7152777777777778;17:10;100098;10088;18:25;0.7673611111111112;21;47516.0
460-1-1;166;5;22;5_1_10088_10116_20_47240.0;1;100098;10088;0.78125;18:45;100130;10116;20:05;0.8368055555555556;20;47240.0
453-1-1;163;5;29;5_0_10116_10088_20_47240.0;0;100130;10116;0.25;06:00;100098;10088;07:32;0.3145833333333333;20;47240.0
459-1-1;164;5;29;5_1_10088_10116_21_47516.0;1;100098;10088;0.2548611111111111;06:06;100130;10116;07:35;0.31597222222222227;21;47516.0
464-1-4;3;6;11;6_1_10067_10010_12_31892.0;1;100076;10067;0.71875;17:15;100011;10010;18:12;0.7590277777777777;12;31892.0
1010088-1-2;178;6;11;6_1_10069_10010_13_33978.0;1;100078;10069;0.704861111111111;16:54;100011;10010;18:12;0.7590277777777777;13;33978.0
463-1-1;179;6;11;6_1_10067_10010_14_41088.0;1;100076;10067;0.7569444444444444;18:09;100011;10010;19:11;0.7999999999999999;14;41088.0
1010089-1-1;4;6;12;6_1_10069_10010_15_43174.0;1;100078;10069;0.5104166666666666;12:15;100011;10010;13:26;0.5604166666666667;15;43174.0
464-1-2;5;6;12;6_1_10067_10010_12_31892.0;1;100076;10067;0.7152777777777778;17:10;100011;10010;18:12;0.7590277777777777;12;31892.0
461-1-1;175;6;13;6_0_10010_10069_15_35156.0;0;100011;10010;0.2777777777777778;06:40;100078;10069;07:54;0.3298611111111111;15;35156.0
462-1-1;176;6;14;6_0_10010_10067_13_32959.0;0;100011;10010;0.29305555555555557;07:01;100076;10067;08:00;0.3333333333333333;13;32959.0
464-1-3;177;6;14;6_1_10067_10010_12_31892.0;1;100076;10067;0.7152777777777778;17:10;100011;10010;18:12;0.7590277777777777;12;31892.0
1009262-1-1;12;7;11;7_0_10182_10038_12_25464.0;0;100203;10182;0.7125;17:06;100043;10038;17:48;0.7423611111111111;12;25464.0
1009262-1-2;14;7;11;7_0_10182_10038_12_25464.0;0;100203;10182;0.7541666666666667;18:06;100043;10038;18:48;0.7840277777777778;12;25464.0
1010094-1-2;15;7;11;7_1_10039_10183_12_25422.0;1;100044;10039;0.7354166666666667;17:39;100207;10183;18:17;0.7625;12;25422.0
1010096-1-1;16;7;11;7_1_10036_10182_14_26689.0;1;100041;10036;0.7125;17:06;100203;10182;17:52;0.7451388888888889;14;26689.0
