sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Type_Jour_Vacances_A;Debut;Fin;Nb_courses;Duree;Headway_FM;Headway_HPM;Headway_HC;Headway_HPS;Headway_FS
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mercredi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Vendredi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Ferie;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Jeudi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Lundi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mardi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mercredi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Samedi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Samedi_Vacances;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Semaine_Vacances;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Vendredi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Jeudi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Lundi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Mardi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
