id_ap;stop_lat;stop_lon;stop_name;location_type;id_ag;id_ag_num;id_ap_num
200578;46.423317;5.3492103;NANC-LES-SAINT-AMOUR -PONT RD1083;0;122;10122;100137
200913;46.91462;5.328676;NEUBLANS BAS;0;123;10123;100138
200914;46.907536;5.3306456;NEUBLANS HAUT;0;124;10124;100139
200790;47.002037;5.5202484;PLACE BASCULE;0;125;10125;100140
200715;46.598293;5.643512;SALLE DES FETES;0;126;10126;100141
200543;46.581886;5.442675;RD1083;0;127;10127;100142
200566;46.58223;5.4431133;CARF RD97/RD10183;0;127;10127;100143
200644;46.51967;5.6101093;SALLE POLYVALENTE;0;128;10128;100144
200791;46.99471;5.666316;EGLISE;0;129;10129;100145
200828;46.970585;5.817632;VILLAGE;0;130;10130;100146
200840;46.69602;5.5994487;RD471;0;131;10131;100147
200957;46.799183;5.904264;PASQUIER (LE) ABRIBUS;0;132;10132;100148
200812;46.800446;5.904871;PASQUIER (LE) MAIRIE;0;133;10133;100149
200704;46.58666;5.704442;RD678;0;134;10134;100150
200645;46.669216;5.5743027;CONDAMINE;0;135;10135;100151
200841;46.67016;5.575827;CENTRE COMMERCIAL;0;136;10136;100152
200646;46.665836;5.581287;SCIERIE;0;137;10137;100153
200647;46.659985;5.590183;VATAGNA (ORLONG);0;138;10138;100154
200918;46.935883;5.343148;EGLISE;0;139;10139;100155
200919;46.939747;5.3288646;LAVIGNE;0;140;10140;100156
200648;46.52639;5.631695;RD470;0;141;10141;100157
200881;46.918335;5.4521728;CALVAIRE;0;142;10142;100158
200649;46.595695;5.629531;VILLAGE;0;143;10143;100159
200850;46.834427;5.704053;CHAMP DE FOIRE;0;144;10144;100160
200851;46.848045;5.6978583;CHARMILLES;0;145;10145;100161
200705;46.58542;5.698253;PLACE;0;146;10146;100162
200814;46.898342;5.8926935;MOUTAINE;0;147;10147;100163
200842;46.724285;5.7773795;ANC.PONT SNCF;0;148;10148;100164
200844;46.724342;5.777308;MAIRIE;0;148;10148;100165
200650;46.37639;5.7609205;ABRIBUS;0;149;10149;100166
200882;46.76218;5.447893;SALLE DES FETES;0;150;10150;100167
200883;46.7619;5.447832;GRANDE RUE;0;150;10150;100168
