sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
7_0_10183_10039_8_24025.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10183;10039;OLIVET;PLACE PROST CHALET;0.0;0.0;0.0;0.0;0.0;0.0;24.025;0.0;0.0;48.05;0.0
7_1_10036_10182_14_26689.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10036;10182;COLLEGE LOUATAUX;LYCEE;0.0;0.0;0.0;26.689;26.689;26.689;0.0;0.0;0.0;0.0;26.689
7_1_10036_10183_13_26245.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10036;10183;COLLEGE LOUATAUX;OLIVET;0.0;0.0;0.0;0.0;0.0;0.0;26.245;0.0;0.0;0.0;0.0
7_1_10039_10183_12_25422.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10039;10183;PLACE PROST CHALET;OLIVET;0.0;0.0;0.0;25.422;25.422;25.422;0.0;0.0;0.0;0.0;25.422
7_1_10039_10183_14_26560.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10039;10183;PLACE PROST CHALET;OLIVET;0.0;0.0;0.0;26.56;26.56;26.56;26.56;0.0;0.0;0.0;26.56
7_1_10039_10183_8_24025.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10039;10183;PLACE PROST CHALET;OLIVET;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.05;0.0
7_1_10039_10183_9_25400.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10039;10183;PLACE PROST CHALET;OLIVET;0.0;0.0;0.0;0.0;0.0;0.0;25.4;0.0;0.0;0.0;0.0
8_0_10120_10182_7_7431.0;8;314;MOUCHARD - SALINS LES BAINS;10120;10182;GARE S.N.C.F.;LYCEE;0.0;0.0;0.0;0.0;7.431;0.0;0.0;0.0;0.0;0.0;0.0
8_0_10120_10220_4_8485.0;8;314;MOUCHARD - SALINS LES BAINS;10120;10220;GARE S.N.C.F.;SALINES;0.0;0.0;0.0;8.485;8.485;8.485;0.0;0.0;0.0;0.0;8.485
8_0_10120_10220_7_8102.0;8;314;MOUCHARD - SALINS LES BAINS;10120;10220;GARE S.N.C.F.;SALINES;16.204;16.204;16.204;24.306;24.306;24.306;24.306;16.204;16.204;24.306;24.306
8_0_10121_10220_9_9679.0;8;314;MOUCHARD - SALINS LES BAINS;10121;10220;GYMNASE LYCEE BOIS;SALINES;0.0;0.0;0.0;9.679;9.679;9.679;9.679;0.0;0.0;9.679;9.679
8_1_10220_10120_7_8102.0;8;314;MOUCHARD - SALINS LES BAINS;10220;10120;SALINES;GARE S.N.C.F.;16.204;16.204;16.204;40.51;40.51;40.51;40.51;16.204;16.204;48.612;40.51
8_1_10220_10120_8_8821.0;8;314;MOUCHARD - SALINS LES BAINS;10220;10120;SALINES;GARE S.N.C.F.;0.0;0.0;0.0;8.821;8.821;8.821;0.0;0.0;0.0;0.0;8.821
8_1_10220_10121_9_9679.0;8;314;MOUCHARD - SALINS LES BAINS;10220;10121;SALINES;GYMNASE LYCEE BOIS;0.0;0.0;0.0;9.679;9.679;9.679;9.679;0.0;0.0;0.0;9.679
9_0_10036_10088_10_33714.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10036;10088;COLLEGE LOUATAUX;LONS GARE SNCF;0.0;0.0;0.0;33.714;33.714;33.714;0.0;0.0;0.0;0.0;33.714
9_0_10037_10088_7_30043.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10037;10088;GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;30.043;30.043;30.043;30.043;0.0;0.0;0.0;30.043
9_0_10037_10088_8_31432.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10037;10088;GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;31.432;31.432;31.432;31.432;62.864;62.864;94.296;31.432
9_0_10038_10088_9_32498.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10038;10088;LYCEE P. E. VICTOR;LONS GARE SNCF;0.0;0.0;0.0;32.498;32.498;32.498;32.498;0.0;0.0;0.0;32.498
9_0_10038_10088_9_32574.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10038;10088;LYCEE P. E. VICTOR;LONS GARE SNCF;0.0;0.0;0.0;32.574;32.574;32.574;32.574;0.0;0.0;0.0;32.574
9_1_10088_10037_8_31198.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10088;10037;LONS GARE SNCF;GARE S.N.C.F.;0.0;0.0;0.0;124.792;124.792;124.792;62.396;62.396;62.396;93.594;124.792
9_1_10088_10038_6_32702.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10088;10038;LONS GARE SNCF;LYCEE P. E. VICTOR;0.0;0.0;0.0;0.0;32.702;0.0;0.0;0.0;0.0;0.0;0.0
9_1_10088_10038_9_32252.0;9;315;CHAMPAGNOLE - LONS LE SAUNIER;10088;10038;LONS GARE SNCF;LYCEE P. E. VICTOR;0.0;0.0;0.0;32.252;32.252;32.252;32.252;0.0;0.0;0.0;32.252
10_0_10044_10088_14_24256.0;10;317;CHAUSSIN - LONS LE SAUNIER;10044;10088;ECOLE;LONS GARE SNCF;0.0;0.0;0.0;24.256;24.256;24.256;24.256;0.0;0.0;0.0;24.256
10_0_10046_10088_21_43448.0;10;317;CHAUSSIN - LONS LE SAUNIER;10046;10088;GENDARMERIE;LONS GARE SNCF;0.0;0.0;43.448;43.448;43.448;43.448;43.448;0.0;0.0;43.448;43.448
10_0_10046_10088_22_43449.0;10;317;CHAUSSIN - LONS LE SAUNIER;10046;10088;GENDARMERIE;LONS GARE SNCF;0.0;0.0;0.0;43.449;43.449;43.449;43.449;0.0;0.0;0.0;43.449
10_0_10046_10090_22_45503.0;10;317;CHAUSSIN - LONS LE SAUNIER;10046;10090;GENDARMERIE;LONS PISCINE;0.0;0.0;45.503;0.0;0.0;0.0;0.0;0.0;0.0;45.503;0.0
10_1_10085_10044_14_24693.0;10;317;CHAUSSIN - LONS LE SAUNIER;10085;10044;LONS AVENUE DE LA MARSEILLAISE;ECOLE;0.0;0.0;0.0;24.693;24.693;24.693;0.0;0.0;0.0;0.0;24.693
10_1_10085_10046_22_43886.0;10;317;CHAUSSIN - LONS LE SAUNIER;10085;10046;LONS AVENUE DE LA MARSEILLAISE;GENDARMERIE;0.0;0.0;43.886;87.772;87.772;87.772;43.886;0.0;0.0;43.886;87.772
10_1_10085_10046_23_53608.0;10;317;CHAUSSIN - LONS LE SAUNIER;10085;10046;LONS AVENUE DE LA MARSEILLAISE;GENDARMERIE;0.0;0.0;0.0;53.608;53.608;53.608;53.608;0.0;0.0;0.0;53.608
10_1_10090_10046_23_45471.0;10;317;CHAUSSIN - LONS LE SAUNIER;10090;10046;LONS PISCINE;GENDARMERIE;0.0;0.0;45.471;0.0;0.0;0.0;0.0;0.0;0.0;45.471;0.0
11_0_10216_10067_13_35821.0;11;318;PIERRE DE BRESSE - DOLE;10216;10067;CHATEAU D'EAU;GARE ROUTIERE;0.0;0.0;0.0;35.821;35.821;35.821;35.821;0.0;0.0;0.0;35.821
11_0_10216_10067_14_35879.0;11;318;PIERRE DE BRESSE - DOLE;10216;10067;CHATEAU D'EAU;GARE ROUTIERE;0.0;0.0;71.758;0.0;0.0;0.0;0.0;0.0;0.0;143.516;0.0
11_0_10216_10069_17_40552.0;11;318;PIERRE DE BRESSE - DOLE;10216;10069;CHATEAU D'EAU;DUHAMEL;0.0;0.0;0.0;40.552;40.552;40.552;40.552;0.0;0.0;0.0;40.552
11_1_10067_10216_13_35821.0;11;318;PIERRE DE BRESSE - DOLE;10067;10216;GARE ROUTIERE;CHATEAU D'EAU;0.0;0.0;0.0;35.821;35.821;35.821;0.0;0.0;0.0;0.0;35.821
11_1_10067_10216_14_35879.0;11;318;PIERRE DE BRESSE - DOLE;10067;10216;GARE ROUTIERE;CHATEAU D'EAU;0.0;0.0;0.0;71.758;71.758;71.758;71.758;0.0;0.0;71.758;71.758
12_0_10144_10067_14_36378.0;12;320;POLIGNY - DOLE;10144;10067;CHAMP DE FOIRE;GARE ROUTIERE;0.0;0.0;0.0;36.378;36.378;36.378;36.378;0.0;0.0;36.378;36.378
12_1_10067_10145_14_37964.0;12;320;POLIGNY - DOLE;10067;10145;GARE ROUTIERE;CHARMILLES;0.0;0.0;0.0;37.964;37.964;37.964;37.964;0.0;0.0;37.964;37.964
12_1_10069_10145_15_40050.0;12;320;POLIGNY - DOLE;10069;10145;DUHAMEL;CHARMILLES;0.0;0.0;0.0;40.05;40.05;40.05;40.05;0.0;0.0;0.0;40.05
13_0_10167_10003_15_19848.0;13;305;SAINT-CLAUDE -  MIJOUX;10167;10003;LYCEE PRE ST SAUVEUR;VILLAGE;0.0;0.0;0.0;0.0;0.0;0.0;19.848;0.0;0.0;0.0;0.0
13_0_10172_10003_13_18642.0;13;305;SAINT-CLAUDE -  MIJOUX;10172;10003;GARE SNCF;VILLAGE;0.0;0.0;0.0;0.0;0.0;0.0;18.642;37.284;37.284;37.284;0.0
13_0_10167_10075_13_14117.0;13;305;SAINT-CLAUDE -  MIJOUX;10167;10075;LYCEE PRE ST SAUVEUR;ECOLE;0.0;0.0;0.0;14.117;14.117;14.117;0.0;0.0;0.0;0.0;14.117
13_0_10167_10075_14_14448.0;13;305;SAINT-CLAUDE -  MIJOUX;10167;10075;LYCEE PRE ST SAUVEUR;ECOLE;0.0;0.0;0.0;14.448;14.448;14.448;0.0;0.0;0.0;0.0;14.448
13_1_10003_10172_15_18697.0;13;305;SAINT-CLAUDE -  MIJOUX;10003;10172;VILLAGE;GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;18.697;37.394;37.394;18.697;0.0
13_1_10003_10172_8_13806.0;13;305;SAINT-CLAUDE -  MIJOUX;10003;10172;VILLAGE;GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;13.806;13.806;13.806;13.806;0.0
13_1_10075_10167_14_15640.0;13;305;SAINT-CLAUDE -  MIJOUX;10075;10167;ECOLE;LYCEE PRE ST SAUVEUR;0.0;0.0;0.0;15.64;15.64;15.64;15.64;0.0;0.0;0.0;15.64
14_1_10240_10088_3_82824.0;14;300;LONS LE SAUNIER - DIJON;10240;10088;REPUBLIQUE;LONS GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;82.824;82.824;82.824;0.0;82.824
14_0_10088_10240_3_82863.0;14;300;LONS LE SAUNIER - DIJON;10088;10240;LONS GARE SNCF;REPUBLIQUE;82.863;82.863;82.863;0.0;82.863;82.863;0.0;82.863;82.863;82.863;0.0
