id_ag_num;stop_name;stop_lat;stop_lon;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
10072;ESSARDS TAIGNEVAUX (LES) MAIRIE;46.91105270385742;5.418760776519775;0;0;4;5;5;5;4;0;0;4;5
10073;FERTE (LA) CHALET;46.94332504272461;5.65733003616333;0;0;0;4;4;4;3;0;0;2;4
10074;CFA;46.64216613769531;5.501898288726807;0;0;3;11;11;11;11;7;7;10;11
10075;ECOLE;46.3748779296875;5.972402095794678;0;0;0;3;3;3;5;5;5;4;3
10076;COMBE DU LAC;46.40154266357422;5.986255168914795;0;0;0;0;0;0;3;4;4;3;0
10077;VILLAGE;46.39443588256836;5.967777252197266;0;0;0;3;3;3;5;5;5;4;3
10078;RUE DE LA GARE;46.71696853637695;5.4734416007995605;0;0;4;7;7;7;5;0;0;4;7
10079;VILLAGE;46.7100830078125;5.467694282531738;0;0;4;7;7;7;5;0;0;4;7
10080;LAVANS-ST-CLAUDE BOURG DESSUS;46.38544845581055;5.779921054840088;0;0;5;6;8;6;5;6;6;6;6
10081;LAVANS-ST-CLAUDE EGLISE;46.38408279418945;5.781859397888184;0;0;5;6;7;6;5;6;6;6;6
10082;LONGWY EGLISE;46.958221435546875;5.372115135192871;0;0;2;5;5;5;4;0;0;6;5
10083;LONGWY HOTELANS RD13;46.948890686035156;5.360748767852783;0;0;2;5;5;5;4;0;0;6;5
10084;LONS AVENUE JEAN MOULIN;46.67312240600586;5.558231830596924;0;0;5;7;9;7;7;7;7;7;7
10085;LONS AVENUE DE LA MARSEILLAISE;46.67250061035156;5.555493354797363;0;0;2;4;4;4;2;0;0;2;4
10086;LONS AVENUE THUREL;46.67277145385742;5.553163051605225;0;0;3;11;11;11;11;7;7;10;11
10087;LONS COLLEGE BRIAND;46.669925689697266;5.551513195037842;0;0;0;1;1;1;1;0;0;0;1
10088;LONS GARE SNCF;46.66883087158203;5.552423477172852;5;5;20;54;61;55;48;27;27;46;59
10089;LONS LYCEE MONTCIEL;46.67280197143555;5.541642665863037;0;0;1;8;8;8;8;3;3;5;8
10090;LONS PISCINE;46.684600830078125;5.566478729248047;0;0;2;0;0;0;0;0;0;2;0
10091;LOYE (LA) PLACE;47.026371002197266;5.558037281036377;0;0;0;4;4;4;3;0;0;2;4
10092;RD470;46.57982635498047;5.628702640533447;0;0;5;6;9;6;5;6;6;6;7
10093;VILLAGE;46.57498550415039;5.639519214630127;0;0;0;1;1;1;0;0;0;0;1
10094;MOLAMBOZ;46.931663513183594;5.677890777587891;0;0;0;4;4;4;3;0;0;2;4
10095;CARF LE SORBIER;46.566043853759766;5.416759490966797;0;0;3;11;11;11;11;7;7;10;11
10096;THURON;46.59176254272461;5.679614067077637;0;0;0;3;5;3;4;2;2;3;5
10097;MESSIA/SORNE VILLAGE;46.66309356689453;5.522211074829102;0;0;3;10;10;10;10;7;7;10;10
10098;MESSIA/SORNE Z.I.;46.65989685058594;5.517539978027344;0;0;3;10;10;10;10;7;7;10;10
10099;MAIRIE ECOLE;46.49883270263672;5.72661828994751;0;0;5;7;10;7;5;6;6;6;8
10100;VILLAGE;46.696380615234375;5.726662635803223;0;0;0;10;10;10;7;4;4;6;10
10101;CITE SCOLAIRE;46.43625259399414;5.722635269165039;0;0;0;0;1;0;0;0;0;0;1
10102;GENDARMERIE;46.43460464477539;5.725375175476074;0;0;0;2;4;2;1;1;3;3;2
10103;MOIRANS EN MTGNE VOLTAIRE;46.43361282348633;5.724915981292725;0;0;4;3;4;3;2;3;3;3;4
10104;POSTE;46.42869186401367;5.725943088531494;0;0;4;5;8;5;3;4;6;6;6
10105;RTE CRENANS;46.43891906738281;5.721463680267334;0;0;1;4;5;4;4;3;3;3;5
10106;MOIRANS-MGNE - FRANCHE COMTE;46.43827819824219;5.722671985626221;0;0;4;4;5;4;2;3;3;3;4
10107;RD905;46.89664077758789;5.645812511444092;0;0;0;3;3;3;3;0;0;2;3
