id_ag;id_ag_num;stop_name;stop_lat;stop_lon
30;10030;3593 RUE FRANCHE-COM;46.54272;6.151112
31;10031;CARREFOUR RD678;46.589153;5.7301617
32;10032;VILLAGE;46.600483;5.8540807
33;10033;COTE BELETTES;46.91681;5.886891
34;10034;RD1083;46.625732;5.488455
35;10035;(LA) GRANDE RU;46.9261;5.4424973
36;10036;COLLEGE LOUATAUX;46.73296;5.926755
37;10037;GARE S.N.C.F.;46.748882;5.909997
38;10038;LYCEE P. E. VICTOR;46.74356;5.922821
39;10039;PLACE PROST CHALET;46.746956;5.9091396
4;10004;VILLAGE;46.28948;5.295291
40;10040;OPPIDUM;46.74709;5.9105763
41;10041;ECOLE;46.802425;5.377551
42;10042;MAIRIE;46.465836;5.7133946
43;10043;CHASSAGNE (LA) RD468;46.86356;5.450189
44;10044;ECOLE;46.846664;5.4783463
45;10045;PLACE GARE;46.966805;5.4150367
46;10046;GENDARMERIE;46.968456;5.4078403
47;10047;FRAMBOISY;46.958874;5.406316
48;10048;LA VILLENEUVE;46.970413;5.400219
49;10049;CHAUX DU DOMBIEF (LA) RD678;46.604916;5.9033675
5;10005;RD1083;46.364235;5.3328676
50;10050;VAL D'HERY;46.901413;5.890339
51;10051;CARF RD77/RD1083;46.41682;5.351449
52;10052;CLAIRVAUX GENDARMERIE;46.581055;5.747232
53;10053;CLAIRVAUX MAIRIE;46.576077;5.750546
54;10054;PLACE;46.581104;5.7583323
55;10055;CAR. DE LA POTIERE;46.81853;5.453578
56;10056;RUE DES COMBES;46.80262;5.451626
57;10057;LE VILLARNIER;46.78739;5.446973
58;10058;VILLAGE;46.65459;5.59837
59;10059;LA GRENETTE;46.53293;5.391972
6;10006;CARFRD28/RD1083;46.32939;5.3133264
60;10060;ABRIBUS;46.510284;5.7045813
61;10061;CRANCOT VILLAGE;46.68777;5.660274
62;10062;MAIRIE;46.751118;5.8138304
63;10063;BIFURCATION DEVIATION;46.53978;5.3962564
64;10064;DESCHAUX (LE) SALLE DES FETES;46.950115;5.502164
65;10065;AVENUE DE LAHR;47.08937;5.4956546
66;10066;CES BASTIE;47.083622;5.470769
67;10067;GARE ROUTIERE;47.096474;5.4903283
68;10068;LE PORT-STADE;47.09015;5.496833
69;10069;DUHAMEL;47.08182;5.4731145
7;10007;ECOLE;46.345848;5.320702
70;10070;THEATRE;47.091335;5.4881864
71;10071;DOMPIERRE/MONT PLACE EGLISE;46.55976;5.610466
72;10072;ESSARDS TAIGNEVAUX (LES) MAIRIE;46.911053;5.418761
73;10073;FERTE (LA) CHALET;46.943325;5.65733
74;10074;CFA;46.642166;5.5018983
75;10075;ECOLE;46.374878;5.972402
76;10076;COMBE DU LAC;46.401543;5.986255
77;10077;VILLAGE;46.394436;5.9677773
