id_ap;stop_lat;stop_lon;stop_name;id_ag;id_ap_num;id_ag_num
1750;45.140098571777344;5.673250198364258;CLAIX, COL DE COMBOIRE;COLCOMBO;100882;10199
1751;45.139888763427734;5.673059940338135;CLAIX, COL DE COMBOIRE;COLCOMBO;100883;10199
1755;45.162750244140625;5.685329914093018;SEYSSINS, PARC FRANCOIS MITTERRAND;PFMITTER;100884;10577
1756;45.162899017333984;5.685239791870117;SEYSSINS, PARC FRANCOIS MITTERRAND;PFMITTER;100885;10577
1757;45.16128921508789;5.682889938354492;SEYSSINS, L'AGNEAU;LAGNEAU;100886;10391
1758;45.15903091430664;5.6832098960876465;SEYSSINS, BEAUVOIR;BEAUVOIR;100887;10064
1760;45.26449966430664;5.879280090332031;BERNIN, CLOYERES;CLY;100888;10194
1765;45.18259048461914;5.734119892120361;GRENOBLE, DRIANT;DRIANT;100889;10250
1766;45.182289123535156;5.73406982421875;GRENOBLE, DRIANT;DRIANT;100890;10250
1770;45.20003128051758;5.835259914398193;DOMENE, COUBERTIN;COUBERTI;100891;10226
1771;45.20003890991211;5.835410118103027;DOMENE, COUBERTIN;COUBERTI;100892;10226
1772;45.169029235839844;5.69202995300293;SEYSSINET-PARISET, TUILERIE;TUILERIE;100893;10738
1773;45.169090270996094;5.692190170288086;SEYSSINS, TUILERIE;TUILERIE;100894;10738
1779;45.1850700378418;5.694530010223389;SEYSSINET-PARISET, ARISTIDE BERGES;ARBERGES;100895;10031
1780;45.18552017211914;5.694660186767578;SEYSSINET-PARISET, ARISTIDE BERGES;ARBERGES;100896;10031
1782;45.24222183227539;5.824510097503662;SAINT-ISMIER, CHATEAU RANDON;CHRA;100897;10167
1783;45.17593002319336;5.7440900802612305;GRENOBLE, ANDRE ARGOUGES;ARGOUGES;100898;10033
1784;45.17502975463867;5.744760036468506;GRENOBLE, ANDRE ARGOUGES;ARGOUGES;100899;10033
1785;45.20795822143555;5.679369926452637;SASSENAGE, MALADIERE;MALADIER;100900;10477
1788;45.212791442871094;5.659249782562256;SASSENAGE, CHATEAU DE SASSENAGE;CHS;100901;10169
1789;45.21281051635742;5.661739826202393;SASSENAGE, CHATEAU DE SASSENAGE;CHATSASS;100902;10150
1790;45.212249755859375;5.661620140075684;SASSENAGE, CHATEAU DE SASSENAGE;CHATSASS;100903;10150
1795;45.26375961303711;5.858689785003662;BERNIN, LES VARVOUX;VAX;100904;10753
1797;45.24605941772461;5.83119010925293;SAINT-ISMIER, SAINT-ISMIER GARE;SIG;100905;10695
1836;45.273101806640625;5.612800121307373;VEUREY-VOROIZE, VEUREY MAIRIE;VEUREYMA;100906;10765
1839;45.11861038208008;5.693349838256836;CLAIX, PONT ROUGE;PTROUGE;100907;10631
1840;45.11861038208008;5.693190097808838;CLAIX, PONT ROUGE;PTROUGE;100908;10631
1841;45.11872863769531;5.693190097808838;CLAIX, PONT ROUGE;PTROUGE;100909;10631
1842;45.12371063232422;5.697669982910156;LE PONT-DE-CLAIX, LE PONT-DE-CLAIX MAIRIE;PCM;100910;10564
